date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-12 22:35:44,ewarren,BlackWomxnFor,100,217,1675,"I’m grateful down to my toes for your support. I don’t take it lightly— and I’ll continue to fight alongside you to make big, structural change.https://twitter.com/BlackWomxnFor/status/1194102749060849665 …",,,,1194383301915660292,https://twitter.com/ewarren/status/1194383301915660292
2019-11-12 22:21:28,ewarren,,187,428,1676,"Redlining often pushed people of color into neighborhoods that were vulnerable to climate change or faced more pollution risks. When we fight for environmental justice, we're also fighting for economic justice.https://earther.gizmodo.com/why-elizabeth-warren-mentioned-redlining-at-a-climate-f-1839730917 …",,,,1194379713449545728,https://twitter.com/ewarren/status/1194379713449545728
2019-11-12 21:23:26,ewarren,,57,136,707,"If we want to make big, structural change, we need great candidates running up and down the ballot. And we need to show the next generation that they can run—and win. On #NationalRunforOfficeDay, learn more about how you can run for office! http://www.runforofficeday.com pic.twitter.com/ivRgCH1dnj",,,#NationalRunforOfficeDay,1194365109499510799,https://twitter.com/ewarren/status/1194365109499510799
2019-11-12 20:43:18,ewarren,NVforWarren,66,87,722,"See you soon, Nevada!https://twitter.com/NVforWarren/status/1193726283324125185 …",,,,1194355008491446277,https://twitter.com/ewarren/status/1194355008491446277
2019-11-12 19:49:48,ewarren,,125,462,3792,"Bruce and I are sending our best wishes to our Sikh friends celebrating the 550th anniversary of the birth of the first Sikh Guru, Guru Nanak Dev Ji, and his teachings of gender equality, racial equality, and religious tolerance for all.",,,,1194341544855248896,https://twitter.com/ewarren/status/1194341544855248896
2019-11-12 19:08:42,ewarren,shefalil,273,359,1647,"Under my plan to pay for #MedicareForAll, we'll put that $11 trillion back in the pockets of American families—while covering everyone.https://twitter.com/shefalil/status/1194259541518626816 …",,,#MedicareForAll,1194331200409628672,https://twitter.com/ewarren/status/1194331200409628672
2019-11-12 18:28:36,ewarren,UNITEDWEDREAM,126,574,2926,"Thank you to all of the brave protesters who showed up and raised their voices outside of the Supreme Court this morning. #HomeIsHere, and we'll keep fighting for DACA recipients all the way.https://twitter.com/UNITEDWEDREAM/status/1194246704893243393 …",,,#HomeIsHere,1194321108029366275,https://twitter.com/ewarren/status/1194321108029366275
2019-11-12 17:42:55,ewarren,,222,434,1646,"A thinner and thinner slice of the top has taken a massive amount of wealth while America’s middle class has been hollowed out. We need a #TwoCentWealthTax—and we need big, structural change so that our economy and our government works for everyone.https://www.bloomberg.com/news/articles/2019-11-09/one-percenters-close-to-surpassing-wealth-of-u-s-middle-class …",,,#TwoCentWealthTax,1194309613027516416,https://twitter.com/ewarren/status/1194309613027516416
2019-11-12 16:00:52,ewarren,UNITEHERE11,63,293,1034,"After Sandra Pezqueda was fired for reporting sexual harassment at @TerraneaResort, workers pushed for a measure to guarantee basic safety. Terranea spent $1 million to defeat it. I stand with Sandra and the workers—this fight isn't over.https://twitter.com/UNITEHERE11/status/1192208816269676544 …",,@TerraneaResort,,1194283932004605952,https://twitter.com/ewarren/status/1194283932004605952
2019-11-12 14:00:25,ewarren,,44,182,1029,"My plan prevents companies like Exxon from using industry-funded fake research to mislead federal regulators and strike down regulations in court. And if they knowingly lie, we'll treat them the same way the law treats anyone who lies in court—by prosecuting them for perjury.",,,,1194253619174035456,https://twitter.com/ewarren/status/1194253619174035456
