date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-12 22:40:00,JoeBiden,,269,529,2428,"Every worker should have the chance to join a union which bargains to ensure they get paid a living wage and have protections against sexual harassment. That's why I'm proud to stand with @McDonalds workers who are striking in Detroit and across the country today.pic.twitter.com/r0y6uDM2na",,@McDonalds,,1194384374902312962,https://twitter.com/JoeBiden/status/1194384374902312962
2019-11-12 21:32:00,JoeBiden,,699,671,2760,"Israel has a right to defend itself against terrorist threats. It is intolerable that Israeli civilians live their lives under the constant fear of rocket attacks. That's why our administration was such a strong supporter of Israel's life-saving Iron Dome.https://www.nbcnews.com/news/world/israel-hit-50-rockets-gaza-after-airstrike-kills-islamic-jihad-n1080391 …",,,,1194367262284828678,https://twitter.com/JoeBiden/status/1194367262284828678
2019-11-12 21:05:00,JoeBiden,,150,440,1712,"DREAMers should be treated like the Americans that they are. It's past time for Congress to provide a pathway to citizenship and a fair shot at the American dream. #HomeIsHerepic.twitter.com/9CcEn8BUsm",,,#HomeIsHerepic,1194360467675848704,https://twitter.com/JoeBiden/status/1194360467675848704
2019-11-12 19:42:21,JoeBiden,NicoleHockley,114,550,3486,"The Sandy Hook families who paid such a bitter price deserve their day in court – and all American families deserve laws that protect them, and that put their children, not big gun corporations, first.https://twitter.com/NicoleHockley/status/1194276387756138498 …",,,,1194339670626144257,https://twitter.com/JoeBiden/status/1194339670626144257
2019-11-12 18:56:30,JoeBiden,,61,226,1019,"Jill and I want to extend our best wishes to our friends in the Sikh community who are observing the 550th anniversary of the birth of Guru Nanak Dev Ji, the founder of Sikhism.pic.twitter.com/ojTCj2SR1j",,,,1194328129264852993,https://twitter.com/JoeBiden/status/1194328129264852993
2019-11-12 18:14:52,JoeBiden,realDonaldTrump,1048,4416,24705,"DREAMers know more about what it means to be an American than you ever will.https://twitter.com/realDonaldTrump/status/1194219655717642240 …",,,,1194317654485602307,https://twitter.com/JoeBiden/status/1194317654485602307
2019-11-12 16:29:33,JoeBiden,,302,773,3090,"As president, I will ensure DREAMers are recognized as the Americans they are. In the meantime, the Supreme Court should overturn Donald Trump’s cruel decision so that DREAMers can continue to live fully in the only country they have ever known. Their #HomeIsHere.",,,#HomeIsHere,1194291151248986113,https://twitter.com/JoeBiden/status/1194291151248986113
2019-11-12 04:41:31,JoeBiden,,886,930,5476,"I just finished tonight’s CNN Town Hall, where I laid out my vision for our future and how I’ll deliver real progress for working families. I know we can defeat Donald Trump and take back this country, but we can’t do it without your help. Chip in today: https://joe.link/36Tfmhq pic.twitter.com/uw1YulnN2N",,,,1194112965353627648,https://twitter.com/JoeBiden/status/1194112965353627648
2019-11-12 04:28:05,JoeBiden,,990,2781,13481,"Donald Trump has violated his oath of office and betrayed our nation. He should be impeached.pic.twitter.com/4YWvi0HLxh",,,,1194109586594312192,https://twitter.com/JoeBiden/status/1194109586594312192
2019-11-12 03:23:00,JoeBiden,,351,558,2915,"At tonight's @CNN Town Hall in Iowa, I laid out my bold vision for the country and why I'm the best candidate in this race to beat Donald Trump and unite our nation. If you liked what you heard, join our team and let's get to work:http://JoeBiden.com/Join",,@CNN,,1194093206272495618,https://twitter.com/JoeBiden/status/1194093206272495618
